Grapheme	Allen2007	IPA	Structure	TYPE	Note
$	NULL	NULL	NULL		
^	NULL	NULL	NULL		
v³⁵	v ³⁵	v̩ ³⁵	n t	 f	
ṽ³³	ṽ³³	ṽ̩/v̩ ∼ ³³	n c t	 i	
b	b	b	i	 i	
c	c	c	i	 i	
cʰ	cʰ	cʰ	i	 i	
d	d	d	i	 i	
dz	dz	dz	i	 i	
dʐ	dʐ	ɖʐ	i	 i	
f	f	f	i	 i	
g	g	g	i	 i	
k	k	k	i	 i	
kʰ	kʰ	kʰ	i	 i	
kʲ	kʲ	kʲ	i	 i	
kʲʰ	kʲʰ	kʲʰ	i	 i	
l	l	l	i	 i	
m	m	m	i	 i	
n	n	n	i	 i	
p	p	p	i	 i	
pʰ	pʰ	pʰ	i	 i	
q	q	q	i	 i	
qʰ	qʰ	qʰ	i	 i	
s	s	s	i	 i	
sʰ	sʰ	sʰ	i	 i	
t	t	t	i	 i	
ts	ts	ts	i	 i	
tsʰ	tsʰ	tsʰ	i	 i	
tɕ	tɕ	tɕ	i	 i	
tɕʰ	tɕʰ	tɕʰ	i	 i	
tʂ	tʂ	ʈʂ	i	 i	
tʂʰ	tʂʰ	ʈʂʰ	i	 i	
tʰ	tʰ	tʰ	i	 i	
v	v	v	i	 i	
w	w	w	i	 i	
x	x	x	i	 i	
xʰ	xʰ	xʰ	i	 i	
z	z	z	i	 i	
ŋ	ŋ	ŋ	i	 i	
ɕ	ɕ	ɕ	i	 i	
ɕʰ	ɕʰ	ɕʰ	i	 i	
ɖ	ɖ	ɖ	i	 i	
ɣ	ɣ	ɣ	i	 i	
ɥ	ɥ	ɥ	i	 i	
ɲ	ȵ	ɲ	i	 i	
ɴ	ɴ	ɴ	i	 i	
ʁ	ʁ	ʁ	i	 i	
ʂ	ʂ	ʂ	i	 i	
ʃ	ʃ	ʃ	i	 i	
ʈ	ʈ	ʈ	i	 i	
ʈʰ	ʈʰ	ʈʰ	i	 i	
ʐ	ʐ	ʐ	i	 i	
ʑ	ʑ	ʑ	i	 i	
ʔ	ʔ	ʔ	i	 i	
ʥ	ʥ	dʑ	i	 i	
ʧ	ʧ	tʃ	i	 i	
ʧʰ	ʧʰ	tʃʰ	i	 i	
χ	χ	χ	i	 i	
ɴ̣	ɴ̩	ɴ ɴ̣ ∼	i n c	 i	
ɴ̥ɴ̣³³	ɴ̥ ɴ̩ ³³	ɴ̥ ɴ̣ ∼ ³³	i n c t	 f	
ɴ̥ɴ̣⁵⁵	ɴ̥ ɴ̩ ⁵⁵	ɴ̥ ɴ̣ ∼ ⁵⁵	i n c t	 f	
ṃ⁴⁴	ṃ ⁴⁴	m ṃ ∼ ⁴⁴	i n c t	 f	
sɿ⁵⁵	s ɿ ⁵⁵	s ɿ ⁵⁵	i n t	 f	
ʰɯ⁵⁵	ʰ ɯ ⁵⁵	ʰ ɯ ⁵⁵	i n t	 f	sic!
uẽ³³	u ẽ ³³	u ẽ/e ∼ ³³	m n c t	 f	
ĩɛ̃²¹	ĩ ɛ̃ ²¹	i ɛ̃/ɛ ∼ ²¹	m n c t	 f	interprete medial as normal medial
ĩɛ̃³³	ĩ ɛ̃ ³³	i ɛ̃/ɛ ∼ ³³	m n c t	 f	interprete medial as normal medial
ĩɛ̃⁴²	ĩ ɛ̃ ⁴²	i ɛ̃/ɛ ∼ ⁴²	m n c t	 f	interprete medial as normal medial
ĩɛ̃⁵⁵	ĩ ɛ̃ ⁵⁵	i ɛ̃/ɛ ∼ ⁵⁵	m n c t	 f	interprete medial as normal medial
ũã³³	ũ ã ³³	u ã/a ∼ ³³	m n c t	 f	interprete medial as normal medial
ũã³¹	ũ ã ³¹	u ã/a ∼ ³¹	m n c t	 f	interprete medial as normal medial
ũã³⁵	ũ ã ³⁵	u ã/a ∼ ³⁵	m n c t	 f	interprete medial as normal medial
ũã⁴⁴	ũ ã ⁴⁴	u ã/a ∼ ⁴⁴	m n c t	 f	interprete medial as normal medial
ũã⁵⁵	ũ ã ⁵⁵	u ã/a ∼ ⁵⁵	m n c t	 f	interprete medial as normal medial
ũɔ̃²¹	ũ ɔ̃ ²¹	u ɔ̃/ɔ ∼ ²¹	m n c t	 f	interprete medial as normal medial
ũɔ̃³³	ũ ɔ̃ ³³	u ɔ̃/ɔ ∼ ³³	m n c t	 f	interprete medial as normal medial
ũɔ̃³¹	ũ ɔ̃ ³¹	u ɔ̃/ɔ ∼ ³¹	m n c t	 f	interprete medial as normal medial
ũɔ̃³⁵	ũ ɔ̃ ³⁵	u ɔ̃/ɔ ∼ ³⁵	m n c t	 f	interprete medial as normal medial
ũɔ̃⁴²	ũ ɔ̃ ⁴²	u ɔ̃/ɔ ∼ ⁴²	m n c t	 f	interprete medial as normal medial
ũɛ̃⁵⁵	ũ ɛ̃ ⁵⁵	u ɛ̃/ɛ ∼ ⁵⁵	m n c t	 f	interprete medial as normal medial
ũẽ³³	ũ ẽ ³³	u ẽ/e ∼ ³³	m n c t	 f	interprete medial as normal medial
ũẽ⁴⁴	ũ ẽ ⁴⁴	u ẽ/e ∼ ⁴⁴	m n c t	 f	interprete medial as normal medial
ũẽ⁵⁵	ũ ẽ ⁵⁵	u ẽ/e ∼ ⁵⁵	m n c t	 f	interprete medial as normal medial
ia⁴²	i a ⁴²	i a ⁴²	m n t	 f	
ia⁴⁴	i a ⁴⁴	i a ⁴⁴	m n t	 f	
ia⁵⁵	i a ⁵⁵	i a ⁵⁵	m n t	 f	
ie⁴²	i e ⁴²	i e ⁴²	m n t	 f	
ie⁵⁵	i e ⁵⁵	i e ⁵⁵	m n t	 f	
iɔ³²	i ɔ ³²	i ɔ ³²	m n t	 f	
iɔ³³	i ɔ ³³	i ɔ ³³	m n t	 f	
iɔ³¹	i ɔ ³¹	i ɔ ³¹	m n t	 f	
iɔ⁴²	i ɔ ⁴²	i ɔ ⁴²	m n t	 f	
iɔ⁴⁴	i ɔ ⁴⁴	i ɔ ⁴⁴	m n t	 f	
iɔ⁵⁵	i ɔ ⁵⁵	i ɔ ⁵⁵	m n t	 f	
iɛ²¹	i ɛ ²¹	i ɛ ²¹	m n t	 f	
iɛ³²	i ɛ ³²	i ɛ ³²	m n t	 f	
iɛ³³	i ɛ ³³	i ɛ ³³	m n t	 f	
iɛ³¹	i ɛ ³¹	i ɛ ³¹	m n t	 f	
iɛ³⁵	i ɛ ³⁵	i ɛ ³⁵	m n t	 f	
iɛ⁴²	i ɛ ⁴²	i ɛ ⁴²	m n t	 f	
iɛ⁴⁴	i ɛ ⁴⁴	i ɛ ⁴⁴	m n t	 f	
iɛ⁵⁵	i ɛ ⁵⁵	i ɛ ⁵⁵	m n t	 f	
iɯ²¹	i ɯ ²¹	i ɯ ²¹	m n t	 f	
iɯ³³	i ɯ ³³	i ɯ ³³	m n t	 f	
iɯ³¹	i ɯ ³¹	i ɯ ³¹	m n t	 f	
iɯ⁴²	i ɯ ⁴²	i ɯ ⁴²	m n t	 f	
iɯ⁴⁴	i ɯ ⁴⁴	i ɯ ⁴⁴	m n t	 f	
jɛ̃⁵⁵	j ɛ̃ /∼ ⁵⁵	j ɛ̃/ɛ ∼ ⁵⁵	m n c t	 f	
ua²¹	u a ²¹	u a ²¹	m n t	 f	
ua³³	u a ³³	u a ³³	m n t	 f	
ua³¹	u a ³¹	u a ³¹	m n t	 f	
ua³⁵	u a ³⁵	u a ³⁵	m n t	 f	
ua⁴²	u a ⁴²	u a ⁴²	m n t	 f	
ua⁴⁴	u a ⁴⁴	u a ⁴⁴	m n t	 f	
ua⁵⁵	u a ⁵⁵	u a ⁵⁵	m n t	 f	
ue³³	u e ³³	u e ³³	m n t	 f	
ue³¹	u e ³¹	u e ³¹	m n t	 f	
ue³⁵	u e ³⁵	u e ³⁵	m n t	 f	
ue⁴²	u e ⁴²	u e ⁴²	m n t	 f	
ue⁴⁴	u e ⁴⁴	u e ⁴⁴	m n t	 f	
ue⁵⁵	u e ⁵⁵	u e ⁵⁵	m n t	 f	
uɔ²¹	u ɔ ²¹	u ɔ ²¹	m n t	 f	
uɔ³²	u ɔ ³²	u ɔ ³²	m n t	 f	
uɔ³³	u ɔ ³³	u ɔ ³³	m n t	 f	
