Grapheme	Baxter1992	IPA	STRUCTURE
P	NULL	NULL	t
R	NULL	NULL	t
$	NULL	NULL	NULL
^	NULL	NULL	NULL
'	'	ʔ	i
b	b	b	i
d	d	d	i
dr	dr	ɖ	i
dz	dz	dz	i
dzr	dzr	ɖʐ	i
dzy	dzy	dʑ	i
g	g	g	i
h	h	ɣ	i
k	k	k	i
kh	kh	kʰ	i
l	l	l	i
m	m	m	i
n	n	n	i
ng	ng	ŋ	i
nr	nr	ɳ	i
ny	ny	ɲ	i
p	p	p	i
ph	ph	pʰ	i
s	s	s	i
sr	sr	ʂ	i
sy	sy	ɕ	i
t	t	t	i
th	th	tʰ	i
tr	tr	ʈ	i
trh	trh	ʈʰ	i
ts	ts	ts	i
tsh	tsh	tsʰ	i
tsr	tsr	ʈʂ	i
tsrh	tsrh	ʈʂʰ	i
tsy	tsy	tɕ	i
tsyh	tsyh	tɕʰ	i
x	x	x	i
y	y	j	i
z	z	z	i
zr	zr	ʐ	i
zy	zy	ʑ	i
ʔ	'	ʔ	i
kw	kw	k w	i m
jaek	j ae k	j æ k /⁴	m n c t
'jip	' j i p	ʔ j i p /⁴	i m n c t
'jim	' j i m	ʔ j i m /¹	i m n c t
jaem	j ae m	j æ m /¹	m n c t
jaemH	j ae m H	j æ m H/³	m n c t
jaemX	j ae m X	j æ m X/²	m n c t
jaeng	j ae ng	j æ ŋ /¹	m n c t
jaengH	j ae ng H	j æ ŋ H/³	m n c t
jaengX	j ae ng X	j æ ŋ X/²	m n c t
jaep	j ae p	j æ p /⁴	m n c t
jak	j a k	j a k /⁴	m n c t
jang	j a ng	j a ŋ /¹	m n c t
jangH	j a ng H	j a ŋ H/³	m n c t
jangX	j a ng X	j a ŋ X/²	m n c t
jej	j e j	j e j /¹	m n c t
jejH	j e j H	j e j H/³	m n c t
jejX	j e j X	j e j X/²	m n c t
jek	j e k	j e k /⁴	m n c t
jem	j e m	j e m /¹	m n c t
jemH	j e m H	j e m H/³	m n c t
jemX	j e m X	j e m X/²	m n c t
jen	j e n	j e n /¹	m n c t
jenH	j e n H	j e n H/³	m n c t
jenX	j e n X	j e n X/²	m n c t
jeng	j e ng	j e ŋ /¹	m n c t
jengH	j e ng H	j e ŋ H/³	m n c t
jengX	j e ng X	j e ŋ X/²	m n c t
jep	j e p	j e p /⁴	m n c t
jet	j e t	j e t /⁴	m n c t
jew	j e w	j e w /¹	m n c t
jewH	j e w H	j e w H/³	m n c t
jewX	j e w X	j e w X/²	m n c t
jiej	ji e j	ji/j e j /¹	m n c t
jiejH	ji e j H	ji/j e j H/³	m n c t
jiejX	ji e j X	ji/j e j X/²	m n c t
jiek	ji e k	ji/j e k /⁴	m n c t
jien	ji e n	ji/j e n /¹	m n c t
jienH	ji e n H	ji/j e n H/³	m n c t
jienX	ji e n X	ji/j e n X/²	m n c t
jieng	ji e ng	ji/j e ŋ /¹	m n c t
jiengH	ji e ng H	ji/j e ŋ H/³	m n c t
jiengX	ji e ng X	ji/j e ŋ X/²	m n c t
jiet	ji e t	ji/j e t /⁴	m n c t
jiew	ji e w	ji/j e w /¹	m n c t
jiewH	ji e w H	ji/j e w H/³	m n c t
jiewX	ji e w X	ji/j e w X/²	m n c t
jij	j i j	j i j /¹	m n c t
jijH	j i j H	j i j H/³	m n c t
jijX	j i j X	j i j X/²	m n c t
jin	j i n	j i n /¹	m n c t
jinH	j i n H	j i n H/³	m n c t
jinX	j i n X	j i n X/²	m n c t
jit	j i t	j i t /⁴	m n c t
jiw	j i w	j i w /¹	m n c t
jiwH	j i w H	j i w H/³	m n c t
jiwX	j i w X	j i w X/²	m n c t
joj	j o j	j o j /¹	m n c t
jojH	j o j H	j o j H/³	m n c t
jojX	j o j X	j o j X/²	m n c t
jom	j o m	j o m /¹	m n c t
jomH	j o m H	j o m H/³	m n c t
jomX	j o m X	j o m X/²	m n c t
jon	j o n	j o n /¹	m n c t
jonH	j o n H	j o n H/³	m n c t
jonX	j o n X	j o n X/²	m n c t
jop	j o p	j o p /⁴	m n c t
jot	j o t	j o t /⁴	m n c t
jowk	j o wk	j o kʷ /⁴	m n c t
jowng	j o wng	j o ŋʷ /¹	m n c t
jowngH	j o wng H	j o ŋʷ H/³	m n c t
jowngX	j o wng X	j o ŋʷ X/²	m n c t
jun	j u n	j u n /¹	m n c t
junH	j u n H	j u n H/³	m n c t
junX	j u n X	j u n X/²	m n c t
jut	j u t	j u t /⁴	m n c t
juw	j u w	j u w /¹	m n c t
juwH	j u w H	j u w H/³	m n c t
juwX	j u w X	j u w X/²	m n c t
juwk	j u wk	j u kʷ /⁴	m n c t
juwng	j u wng	j u ŋʷ /¹	m n c t
juwngH	j u wng H	j u ŋʷ H/³	m n c t
juwngX	j u wng X	j u ŋʷ X/²	m n c t
jwaeng	jw ae ng	ɥ æ ŋ /¹	m n c t
jwaengH	jw ae ng H	ɥ æ ŋ H/³	m n c t
jwaengX	jw ae ng X	ɥ æ ŋ X/²	m n c t
jwang	jw a ng	ɥ a ŋ /¹	m n c t
jwangH	jw a ng H	ɥ a ŋ H/³	m n c t
jwangX	jw a ng X	ɥ a ŋ X/²	m n c t
jwej	jw e j	ɥ e j /¹	m n c t
jwejH	jw e j H	ɥ e j H/³	m n c t
jwejX	jw e j X	ɥ e j X/²	m n c t
jwen	jw e n	ɥ e n /¹	m n c t
jwenH	jw e n H	ɥ e n H/³	m n c t
jwenX	jw e n X	ɥ e n X/²	m n c t
jwet	jw e t	ɥ e t /⁴	m n c t
jwien	jwi e n	jwi/ɥ e n /¹	m n c t
jwienH	jwi e n H	jwi/ɥ e n H/³	m n c t
jwienX	jwi e n X	jwi/ɥ e n X/²	m n c t
jwieng	jwi e ng	jwi/ɥ e ŋ /¹	m n c t
jwiengH	jwi e ng H	jwi/ɥ e ŋ H/³	m n c t
jwiengX	jwi e ng X	jwi/ɥ e ŋ X/²	m n c t
jwij	jwi j	jwi/ɥ i j /¹	m n c t
jwijH	jwi j H	jwi/ɥ i j H/³	m n c t
jwijX	jwi j X	jwi/ɥ i j X/²	m n c t
jwin	jwi n	jwi/ɥ i n /¹	m n c t
jwinH	jwi n H	jwi/ɥ i n H/³	m n c t
jwinX	jwi n X	jwi/ɥ i n X/²	m n c t
jwit	jwi t	jwi/ɥ i t /⁴	m n c t
jwoj	jw o j	ɥ o j /¹	m n c t
jwojH	jw o j H	ɥ o j H/³	m n c t
jwojX	jw o j X	ɥ o j X/²	m n c t
jwon	jw o n	ɥ o n /¹	m n c t
jwonH	jw o n H	ɥ o n H/³	m n c t
jwonX	jw o n X	ɥ o n X/²	m n c t
jwot	jw o t	ɥ o t /⁴	m n c t
jwæng	jw ae ng	ɥ æ ŋ /¹	m n c t
jwængH	jw ae ng H	ɥ æ ŋ H/³	m n c t
jwængX	jw ae ng X	ɥ æ ŋ X/²	m n c t
jwɨj	jw + j	ɥ ɨ j /¹	m n c t
jwɨjH	jw + j H	ɥ ɨ j H/³	m n c t
jwɨjX	jw + j X	ɥ ɨ j X/²	m n c t
jw+j	jw + j	ɥ ɨ j /¹	m n c t
jw+jH	jw + j H	ɥ ɨ j H/³	m n c t
jw+jX	jw + j X	ɥ ɨ j X/²	m n c t
jæk	j ae k	j æ k /⁴	m n c t
jæm	j ae m	j æ m /¹	m n c t
jæmH	j ae m H	j æ m H/³	m n c t
jæmX	j ae m X	j æ m X/²	m n c t
jæng	j ae ng	j æ ŋ /¹	m n c t
jængH	j ae ng H	j æ ŋ H/³	m n c t
jængX	j ae ng X	j æ ŋ X/²	m n c t
jæp	j ae p	j æ p /⁴	m n c t
