Grapheme	IPA	FREQUENCY	CODEPOINTS
_	+	6872	U+005f
r	r	3010	U+0072
l	l	2574	U+006c
d	d	2302	U+0064
a̠	a	2048	U+0061 U+0320
ɛ̆	ɛ	1627	U+025b U+0306
t	t	1511	U+0074
n	n	1412	U+006e
ă̠	a	1357	U+0103 U+0320
p	p	1354	U+0070
j	j	1221	U+006a
ə	ə	1192	U+0259
v	v	1192	U+0076
m	m	1069	U+006d
k	k	1012	U+006b
s	s	959	U+0073
f	f	928	U+0066
ɛ	ɛ	913	U+025b
ə͉	ə	757	U+0259 U+0349
a̠ː	aː	744	U+0061 U+0320 U+02d0
z	z	744	U+007a
ɛ͉	ɛ	722	U+025b U+0349
ɔ̃	ɔ ∼	718	U+0254 U+0303
b	b	644	U+0062
ã̠	a ∼	633	U+00e3 U+0320
ɔ̆	ɔ	609	U+0254 U+0306
ts	ts	597	U+0074 U+0073
ĭ	i	561	U+012d
iː	iː	515	U+0069 U+02d0
ŭ	u	493	U+016d
ɛ̃	ɛ ∼	465	U+025b U+0303
e	e	432	U+0065
i	i	430	U+0069
eː	eː	375	U+0065 U+02d0
ɛː	ɛː	355	U+025b U+02d0
ʎ	ʎ	348	U+028e
ʃ	ʃ	335	U+0283
a̠͉	a	320	U+0061 U+0320 U+0349
tʃ	tʃ	261	U+0074 U+0283
uː	uː	256	U+0075 U+02d0
ɔː	ɔː	251	U+0254 U+02d0
i͉	i	245	U+0069 U+0349
ĕ̞	e	241	U+0115 U+031e
ɛ̈	ɛ	241	U+025b U+0308
y̆́	y	223	U+0079 U+0306 U+0301
dʒ	dʒ	207	U+0064 U+0292
u	u	197	U+0075
ɔ	ɔ	196	U+0254
o	o	196	U+006f
ɡ	g	192	U+0261
ɑː	ɑː	185	U+0251 U+02d0
aː	aː	182	U+0061 U+02d0
ç	ç	181	U+00e7
oː	oː	180	U+006f U+02d0
θ	θ	179	U+03b8
tθ	tθ		
ĩ͉	i ∼	176	U+0129 U+0349
æ	æ	171	U+00e6
ɒ̝ː	ɒː	169	U+0252 U+031d U+02d0
ò̝͉	o	166	U+00f2 U+031d U+0349
y̆	y	165	U+0079 U+0306
ĕ	e	161	U+0115
u͉	u	160	U+0075 U+0349
ă	a	150	U+0103
e̞	e	148	U+0065 U+031e
w	w	144	U+0077
æː	æː	138	U+00e6 U+02d0
ɲ	ɲ	129	U+0272
ʃ̟	ʃ̟	128	U+0283 U+031f
ŋ͉	ŋ	127	U+014b U+0349
e̞ː	eː	125	U+0065 U+031e U+02d0
œ̆	œ	122	U+0153 U+0306
ɪ̈	ɪ	121	U+026a U+0308
y͉	y	114	U+0079 U+0349
y	y	114	U+0079
j͉	j	111	U+006a U+0349
ʒ	ʒ	107	U+0292
ŏ̞	o	105	U+014f U+031e
ỹː	yː ∼	105	U+1ef9 U+02d0
ð	ð	103	U+00f0
dð	dð		
e̝	e	102	U+0065 U+031d
tʲ	tʲ	98	U+0074 U+02b2
ø	ø	97	U+00f8
pw	p w	94	U+0070 U+0077
øː	øː	93	U+00f8 U+02d0
æ̆	æ	91	U+00e6 U+0306
ŏ	o	90	U+014f
n͉	n	88	U+006e U+0349
ø̞	ø	85	U+00f8 U+031e
ɛ͉̈	ɛ	84	U+025b U+0349 U+0308
kw	k w	76	U+006b U+0077
ɛ̆́	ɛ	74	U+025b U+0306 U+0301
ɥ	ɥ	69	U+0265
e͉	e͉	69	U+0065 U+0349
ẽ	e ∼	67	U+1ebd
õ	o ∼	62	U+00f5
vw	v w	62	U+0076 U+0077
ɔ̈	ɔ	58	U+0254 U+0308
ã̠ː	aː ∼	57	U+00e3 U+0320 U+02d0
e̞͉	e	55	U+0065 U+031e U+0349
ȯ̝͉	o	54	U+022f U+031d U+0349
ʟ	l	53	U+029f
ɑ̆	a	52	U+0251 U+0306
a̠͜ɛ	a ɛ	52	U+0061 U+0320 U+035c U+025b
o̝͉	o	49	U+006f U+031d U+0349
ă̠s	a s	48	U+0103 U+0320 U+0073
ắ̠	a	46	U+1eaf U+0320
rw	r w	45	U+0072 U+0077
e̝͉	e	45	U+0065 U+031d U+0349
ã	a ∼	45	U+00e3
õ̞	o ∼	45	U+00f5 U+031e
ə́	ə	44	U+0259 U+0301
nː	nː	43	U+006e U+02d0
ɛ̃ː	ɛː ∼	42	U+025b U+0303 U+02d0
ʒ̟	ʒ̟	42	U+0292 U+031f
o͉	o͉	40	U+006f U+0349
ʊ̃	ʊ ∼	39	U+028a U+0303
o̝	o	39	U+006f U+031d
ẽ̞	ɛ ∼	39	U+1ebd U+031e
œ	œ	38	U+0153
o̞	o	38	U+006f U+031e
-	+	38	U+002d
mw	m w	38	U+006d U+0077
r͉	r	37	U+0072 U+0349
ʊ̆	ʊ	37	U+028a U+0306
ĩ	i ∼	37	U+0129
ɞ̆	ɞ	35	U+025e U+0306
ʀ	ʀ	35	U+0280
ɔ̆́	ɔ	35	U+0254 U+0306 U+0301
ø̞ː	øː	33	U+00f8 U+031e U+02d0
ă̠ʃ	a ʃ	33	U+0103 U+0320 U+0283
θˡ	θ l	31	U+03b8 U+02e1
tʃ̟	tʃ̟	31	U+0074 U+0283 U+031f
íː	iː	30	U+00ed U+02d0
ʏ̆	y	30	U+028f U+0306
lʲ	lʲ	29	U+006c U+02b2
ʏː	ʏː	29	U+028f U+02d0
ʉ	ʉ	29	U+0289
ɪ̃	ɪ ∼	29	U+026a U+0303
rs	r s	27	U+0072 U+0073
ɪː	ɪː	27	U+026a U+02d0
ɒ̝	ɒ	26	U+0252 U+031d
·	+	26	U+00b7
ɪ̆	ɪ	26	U+026a U+0306
kʲ	kʲ	25	U+006b U+02b2
a̠͜ɔ	aɔ	24	U+0061 U+0320 U+035c U+0254
dʲ	dʲ	23	U+0064 U+02b2
ɑ	ɑ	23	U+0251
ɑ̃	ɑ ∼	23	U+0251 U+0303
æ̃	æ ∼	23	U+00e6 U+0303
lː	lː	23	U+006c U+02d0
ɒ̝̃	ɒ ∼	23	U+0252 U+031d U+0303
ũ	u ∼	23	U+0169
ʊ̈	ʊ	22	U+028a U+0308
ã̠͉	a ∼	22	U+00e3 U+0320 U+0349
ç͉	ɔ	21	U+00e7 U+0349
ă̠w	a w	21	U+0103 U+0320 U+0077
ɡ͉͉	g	19	U+0261 U+0349 U+0349
tw	t w	19	U+0074 U+0077
vː	vː	19	U+0076 U+02d0
í	i	19	U+00ed
œː	œː	18	U+0153 U+02d0
ʏ	ʏ	18	U+028f
w͉	w	18	U+0077 U+0349
jˡ	jˡ	18	U+006a U+02e1
ø̞̆	ø	17	U+00f8 U+031e U+0306
a̠͜e	ae	17	U+0061 U+0320 U+035c U+0065
rː	rː	17	U+0072 U+02d0
ɛ́	ɛ	17	U+025b U+0301
ŭ́	u	17	U+016d U+0301
o̞ː	oː	17	U+006f U+031e U+02d0
ʊː	ʊː	16	U+028a U+02d0
d͉	d͉	16	U+0064 U+0349
fw	f w	16	U+0066 U+0077
e̝ː	eː	16	U+0065 U+031d U+02d0
ʎ͉	lʲ	16	U+028e U+0349
h	h	16	U+0068
rˡ	rˡ	16	U+0072 U+02e1
ə̃	ə ∼	16	U+0259 U+0303
á̠ː	aː	15	U+00e1 U+0320 U+02d0
ðˡ	ðˡ	15	U+00f0 U+02e1
ɔ͜o͉	ɔo	14	U+0254 U+035c U+006f U+0349
úː	uː	14	U+00fa U+02d0
k͉	k	14	U+006b U+0349
ɒ̝͉	ɒ	14	U+0252 U+031d U+0349
õ͉	o ∼	14	U+00f5 U+0349
ɪ	ɪ	14	U+026a
bw	b w	14	U+0062 U+0077
ã̠́	a	13	U+00e3 U+0320 U+0301
ɛ́ː	ɛː	13	U+025b U+0301 U+02d0
ɒ̝̆	ɒ	13	U+0252 U+031d U+0306
ŏ̝	o	13	U+014f U+031d
dw	d w	12	U+0064 U+0077
dʒ̟	dʒ̟	12	U+0064 U+0292 U+031f
ɥʲ	ɥʲ	12	U+0265 U+02b2
ʃw	ʃ w	11	U+0283 U+0077
a	a	11	U+0061
vːw	vː w	11	U+0076 U+02d0 U+0077
o̝ː	oː	11	U+006f U+031d U+02d0
á̠	a	11	U+00e1 U+0320
a̠͜o	ao	11	U+0061 U+0320 U+035c U+006f
kw͉	k w	10	U+006b U+0077 U+0349
a̠͜o̞	ao	10	U+0061 U+0320 U+035c U+006f U+031e
ʉ̆	ʉ	10	U+0289 U+0306
ø̆	ø	10	U+00f8 U+0306
ɛ̃́	ɛ ∼	10	U+025b U+0303 U+0301
ŭs	u s	10	U+016d U+0073
ɔ͜o	ɔo	9	U+0254 U+035c U+006f
ɪ͉̈	ɪ	9	U+026a U+0349 U+0308
œ̆́	œ	9	U+0153 U+0306 U+0301
c	c	9	U+0063
a͉	a͉	8	U+0061 U+0349
sw	s w	8	U+0073 U+0077
t͉s	t͉s	8	U+0074 U+0349 U+0073
ɾ	ɾ	8	U+027e
l͉	l͉	8	U+006c U+0349
ɔ̃ː	ɔː ∼	8	U+0254 U+0303 U+02d0
ɛ͋	ɛ	8	U+025b U+034b
ă̠ʒ	a ʒ	8	U+0103 U+0320 U+0292
tɕ	tɕ	8	U+0074 U+0255
ó̞̀	o	8	U+00f3 U+031e U+0300
m͉	m	8	U+006d U+0349
mw͉	m w	8	U+006d U+0077 U+0349
ʉː	ʉː	7	U+0289 U+02d0
ĕ̝	e	7	U+0115 U+031d
k͉ʃ	k ʃ	7	U+006b U+0349 U+0283
vw͉	v w	7	U+0076 U+0077 U+0349
ø͉	ø͉	7	U+00f8 U+0349
k͉s	k s	7	U+006b U+0349 U+0073
ʊ	ʊ	7	U+028a
ʏ̈	ʏ	7	U+028f U+0308
ŋ	ŋ	7	U+014b
ʏ̃	ʏ ∼	7	U+028f U+0303
j̓	j	6	U+006a U+0313
óː	oː	6	U+00f3 U+02d0
í̆	i	6	U+00ed U+0306
a̠͜ɛ͉	aɛ	6	U+0061 U+0320 U+035c U+025b U+0349
t͉	t	6	U+0074 U+0349
rʒ	r ʒ	6	U+0072 U+0292
 	NULL	6	U+0020
ó̞̄̀	o	5	U+00f3 U+031e U+0304 U+0300
a̠͜o͉	ao	5	U+0061 U+0320 U+035c U+006f U+0349
ɒ̝͜o	ɒo	5	U+0252 U+031d U+035c U+006f
ò̝͉͜o	o	5	U+00f2 U+031d U+0349 U+035c U+006f
ʝ	ʝ	5	U+029d
bw͉	b w	5	U+0062 U+0077 U+0349
ɛ͉̃	ɛ ∼	5	U+025b U+0349 U+0303
ẅ͉	w	5	U+1e85 U+0349
éː	eː	5	U+00e9 U+02d0
ɐ͉	ɐ͉	4	U+0250 U+0349
rʃ	r ʃ	4	U+0072 U+0283
·ʃ	+ ʃ	4	U+00b7 U+0283
ĭʒ	i ʒ	4	U+012d U+0292
ẽ̞͉	e ∼	4	U+1ebd U+031e U+0349
ĕ̞́	e	4	U+0115 U+031e U+0301
æ̆́	æ	4	U+00e6 U+0306 U+0301
ú	u	4	U+00fa
n͉ʒ	n ʒ	4	U+006e U+0349 U+0292
a̠͉͜ɛ	aɛ	4	U+0061 U+0320 U+0349 U+035c U+025b
ĕ̞s	e s	4	U+0115 U+031e U+0073
nw	n w	4	U+006e U+0077
ýː	yː	4	U+00fd U+02d0
d̠	d	3	U+0064 U+0320
kh͉	kʰ	3	U+006b U+0068 U+0349
ɐ	ɐ	3	U+0250
pw͉	p w	3	U+0070 U+0077 U+0349
tʃw	tʃ w	3	U+0074 U+0283 U+0077
ɡ̟	g	3	U+0261 U+031f
lw	l w	3	U+006c U+0077
nʒ	n ʒ	3	U+006e U+0292
ɛ̈́	ɛ	3	U+025b U+0308 U+0301
ǿː	ø	3	U+01ff U+02d0
ý	y	3	U+00fd
a̠ː͜ɛ	aːɛ	3	U+0061 U+0320 U+02d0 U+035c U+025b
áː	aː	3	U+00e1 U+02d0
ŋ͉w	ŋ w	3	U+014b U+0349 U+0077
ʒw	ʒ w	3	U+0292 U+0077
y̞	y̞	3	U+0079 U+031e
__	+	3	U+005f U+005f
ăs	ă s	3	U+0103 U+0073
tʃs	tʃ s	3	U+0074 U+0283 U+0073
õ̝	o ∼	3	U+00f5 U+031d
a̠͜e̞	ae	3	U+0061 U+0320 U+035c U+0065 U+031e
ɞ	ɞ	3	U+025e
ø̞͉͜o	øo	3	U+00f8 U+031e U+0349 U+035c U+006f
é	e	3	U+00e9
a̠͜ó	ao	3	U+0061 U+0320 U+035c U+00f3
ăʃ	a ʃ	3	U+0103 U+0283
u͉ː	u͉ː	3	U+0075 U+0349 U+02d0
