Grapheme	IPA	Notes
a	a	may also represent aː, manual correction necessary
i	ɪ	
ei	iː	
e	eː	
o	oː	
u	ʊ	may also represent uː, manual correction necessary
ai	ɛː	may also represent ɛ if before r, h or hw, manual correction necessary
au	ɔː	may also represent ɔ if before r, h or hw, manual correction necessary
iu	i u	
w	w	
j	j	
y	j	
l	l	
ll	lː	
r	r	
rr	rː	
m	m	
mm	mː	
n	n	
nn	nː	
p	p	
pp	pː	
f	ɸ	
b	b	
bb	bː	
k	k	
x	χ	
q	kʷ	
h	h	
hw	hʷ	
g	g	
gg	n g	ggw may also represent gː w
gk	n k	
gq	n kʷ	
t	t	
tt	tː	
þ	θ	
þþ	θː	
d	d	
dd	dː	
s	s	
ss	sː	
z	z	
^	NULL	
$	NULL	
-	+	
