Grapheme	IPA
^-	NULL
-$	NULL
(	NULL
)	NULL
³³	³³
³¹	³¹
¹¹	¹¹
⁵³	⁵³
⁵⁵	⁵⁵
ɔː	ɔː
tʂʰ	ʈʂʰ
^uːə$	uːə
^ua$	ua
^ai$	ai
^ei$	ei
$	NULL
+	NULL
+$	NULL
^ɔː	ɔː
ɛʰ$	ɛʰ/ɛ
^tʂʰe	ʈʂʰ e
^tʂʰ	ʈʂʰ
aⁱ$	aⁱ/ai
øː	øː
!	NULL
ɛʰ	ɛʰ/ɛ
ãː	ãː
ʂ	ʂ
ỹ	ỹ
ɛ̃ː	ɛ̃ː
aːʰ	aːʰ/aː
ĩ	ĩ
oᵘ	oᵘ/o
aⁱ	aⁱ/a
aᵘ	aᵘ/a
rᵘ	rᵘ/r
iⁱ	iⁱ/i
ī	iː
uᵉ	uᵉ/u
õᵘ	õᵘ/õ
ə̄	əː
ɛ:	ɛː
əː	əː
æ	æ
ɣ	ɣ
ɦ	ɦ
ʈ	ʈ
əʴ	əʴ/ə˞
ʑ	ʑ
aʴ	aʴ/a˞
eʴ	eʴ/e˞
æʳ	æʳ/æ˞
ȶ	ȶ
c	c
ɔʳ	ɔʳ/ɔ˞
ɟ	ɟ
oʳ	oʳ/o˞
aʳ	aʳ/a˞
ᵗ	t
ɯ	ɯ
ᵏ	k
ɬ	ɬ
əʳ	əʳ/ə˞
ç	ç
ˀ	ʔ
ɛʴ	ɛʴ/ɛ˞
⁵-⁵	⁵⁵
eʳ	eʳ/e˞
-	+
N	N/ɴ
N$	N/ɴ
Nw	N/ɴ w
Nʃ	N/ɴ ʃ
^	NULL
^+	NULL
^a	a
^b	b
^d	d
^e	e
^eː	eː
^f	f
^g	g
^h	h
^hw	w̥
^i	i
^iː$	iː
^iⁱ$	iⁱ/i
^j	j
^k	k
^kʰ	kʰ
^l	l
^m	m
^n	n
^o	o
^p	p
^pɕ	p ɕ
^pʰ	pʰ
^r	r
^rᵘ	r ᵘ/w
^s	s
^ss	s s
^t	t
^tʰ	tʰ
^tʰw	tʰ w
^u	u
^uː	uː
^uː$	uː
^v	v
^w	w
^x	x
^z	z
^ĩ	ĩ
^ī	ī/i
^ŋ	ŋ
^ũ	ũ
^ū	ū/u
^ɔ	ɔ
^ɕ	ɕ
^ə	ə
^əə$	əː
^ɨ	ɨ
^ɲ	ɲ
^ɹ	ɹ
^ɾ	ɾ
^ʂ	ʂ
^ʃ	ʃ
^ʈ͡ʂʰ	ʈʂʰ
^ʐ	ʐ
^ʑ	ʑ
^ʒ	ʒ
^ʔ	ʔ
^ʣ	dz
^ʤ	dʒ
^ʥ	dʑ
^ʦ	ts
^ʦʰ	tsʰ
^ʧ	tʃ
^ʨ	tɕ
^ʨʰ	tɕʰ
^ʨʰʨʰ	tɕʰ + tɕʰ
^ẽ	ẽ
_	+
_$	NULL
a	a
a$	a
ae	ae
ai	ai
ao	ao
au	au
aʲ	aʲ/a
aː	aː
aː$	aː
aːu	aːu
aːʰ$	aː
a͡	a
aᵘ$	aᵘ/a
b	b
d	d
d͡ʐ	ɖʐ
e	e
e$	e
ei	ei
eo	eo
eoː	eoː
eĩ	eĩ/ẽi
eː	eː
eː$	eː
eᵘ$	eᵘ/e
eⁱ	eⁱ/e
eⁱ$	eⁱ/e
f	f
g	g
g$	g
h	h
i	i
i$	i
ia	ia
ie	ie
ii	iː
ii$	iː
iu	iu
iɔ	iɔ
iə	iə
