Grapheme	Orthography	IPA	Structure
$	NULL	NULL	NULL
/	/	/	/
^	NULL	NULL	NULL
^iok	i o k	j o k	i n c
^iuat	i u a t	j u a t	i m n c
^iuən	i u ə n	j u ə n	i m n c
^yak	y a k	ɥ a k	i n c
a	a	a	n
ai	a i	a i	n N
ak	a k	a k	n c
an	a n	a n	n c
ang	a ng	a ŋ	n c
b	b	b	i
bak	b a k	b a k	i n c
bat	b a t	b a t	i n c
beak	b e a k	b e a k	i m n c
beat	b e a t	b e a t	i m n c
bok	b o k	b o k	i n c
bu	b u	b u	i n
bək	b ə k	b ə k	i n c
d	d	d	i
da	d a	d a	i n
dak	d a k	d a k	i n c
dam	d a m	d a m	i n c
dan	d a n	d a n	i n c
dat	d a t	d a t	i n c
deak	d e a k	d e a k	i m n c
deok	d e o k	d e o k	i m n c
dj	d j	dʲ	i
do	d o	d o	i n
dok	d o k	d o k	i n c
du	d u 	d u	i n
duk	d u k	d u k	i n c
dz	dz	dz	i
dza	dz a	dz a	i n
dzak	dz a k	dz a k	i n c
dzan	dz a n	dz a n	i n c
dzh	dzh	dzʰ	i
dzok	dz o k	dz o k	i n c
dzu	dz u	dz u	i n
dzə	dz ə	dz ə	i n
dzək	dz ə k	dz ə k	i n c
də	d ə 	d ə	i n
dək	d ə k	d ə k	i n c
e	e	e	n
eai	e a i	e a i	m n c
eam	e a m	e a m	m n c
ean	e a n	e a n	m n c
eat	e a t	e a t	m n c
ek	e k	e k	n c
en	e n	e n	n c
eng	e ng	e ŋ	n c
eok	e o k	e o k	m n c
eong	e o ng	e o ŋ	m n c
et	e t	e t	n c
g	g	g	i
h	h	h	i
ha	h a	h a	i n
ham	h a m	h a m	i n c
han	h a n	h a n	i n c
hat	h a t	h a t	i n c
he	h e	h e	i n
hea	h e a	h e a	i m n
heam	h e a m	h e a m	i m n c
hean	h e a n	h e a n	i m n c
heat	h e a t	h e a t	i m n c
heəp	h e ə p	h e ə p	i m n c
ho	h o	h o	i n
hoa	h o a	h o a	i m n
hoak	h o a k	h o a k	i m n c
hoan	h o a n	h o a n	i m n c
hoəm	h o ə m	h o ə m	i m n c
hu	h u	h u	i n
huk	h u k	h u k	i n c
həp	h ə p	h ə p	i n c
i	i	j	m
ia	i a	i a	m n
iai	i a i	i a i	m n c
iak	i a k	i a k	m n c
