Grapheme	IPA	BIPA	CLTS_Name
_$w	ʷ	◌ʷ	NULL
{	æ	æ	unrounded_near-open_front_vowel
_R	̌	◌̌	NULL
_M	̄	◌̄	NULL
_$n`	ᶯ	◌ᶯ	NULL
_$A	ᵅ	◌ᵅ	NULL
_$h\	ʱ	◌ʱ	NULL
_$r\	ʴ	◌ʴ	NULL
_$U	ᶷ	◌ᶷ	NULL
_$@	ᵊ	◌ᵊ	NULL
-	˗	◌˗	NULL
_$l`	ᶩ	◌ᶩ	NULL
_O	̹	◌̹	NULL
'	ˈ	◌ˈ	NULL
(\	(	◌(	NULL
W	ʍ	ʍ	voiceless_labio-velar_approximant_consonant
_h\	ʱ	◌ʱ	NULL
V\	V	◌V	NULL
_q	̙	◌̙	NULL
K	ɬ	ɬ	voiceless_alveolar_lateral_fricative_consonant
_L	̀	◌̀	NULL
s`	ʂ	ʂ	voiceless_retroflex_sibilant_fricative_consonant
d_z	ʣ	dz	voiced_alveolar_sibilant_affricate_consonant
@	ə	ə	unrounded_mid_central_vowel
_$z\	ᶽ	◌ᶽ	NULL
t_;	ƫ	tʲ	palatalized_voiceless_alveolar_stop_consonant
2	ø	ø	rounded_close-mid_front_vowel
_?	ˀ	◌ˀ	NULL
_$l	ˡ	◌ˡ	NULL
_$Z	ᶾ	◌ᶾ	NULL
_k	̰	◌̰	NULL
_$n	ⁿ	◌ⁿ	NULL
_$B	ᵝ	◌ᵝ	NULL
_j	ʲ	◌ʲ	NULL
_h	ʰ	◌ʰ	NULL
P	ɸ	ɸ	voiceless_bilabial_fricative_consonant
<R>	↗	◌↗	NULL
f_N	ʩ	◌ʩ	NULL
B\	ʙ	ʙ	voiced_bilabial_trill_consonant
G\_<	ʛ	ʛ	voiced_uvular_implosive_consonant
:\	ˑ	◌ˑ	NULL
d_z\	ʥ	dʑ	voiced_alveolo-palatal_sibilant_affricate_consonant
E`	ᴇ	◌ᴇ	NULL
G\	ɢ	ɢ	voiced_uvular_stop_consonant
@\	ɘ	ɘ	unrounded_close-mid_central_vowel
